date,price
2020-10-29,9811
2020-10-30,9652
2020-11-02,9647
2020-11-03,9677
2020-11-04,10090
2020-11-05,10324
2020-11-06,10289
2020-11-09,10548
2020-11-10,10045
2020-11-11,9945
2020-11-12,10139
2020-11-13,10159
2020-11-16,10239
2020-11-17,10204
2020-11-18,10105
2020-11-19,10169
2020-11-20,10249
2020-11-23,10184
2020-11-24,10204
2020-11-25,10304
2020-11-26,10334
2020-11-27,10319
2020-11-30,10354
2020-12-01,10508
2020-12-02,10508
2020-12-03,10513
2020-12-04,10373
2020-12-07,10388
2020-12-08,10463
2020-12-09,10513
2020-12-10,10299
2020-12-11,10354
2020-12-14,10383
2020-12-15,10438
2020-12-16,10588
2020-12-17,10658
2020-12-18,10733
2020-12-21,10808
2020-12-22,10723
2020-12-23,10808
2020-12-24,10723
2020-12-28,10763
2020-12-29,10823
2020-12-30,10763
2021-01-04,10703
2021-01-05,10598
2021-01-06,10553
2021-01-07,10613
2021-01-08,10853
2021-01-11,10971
2021-01-12,10908
2021-01-13,10863
2021-01-14,10918
2021-01-15,10833
2021-01-18,10828
2021-01-19,10941
2021-01-20,11026
2021-01-21,11261
2021-01-22,11306
2021-01-25,11370
2021-01-26,11370
2021-01-27,11494
2021-01-28,11206
2021-01-29,11156
2021-02-01,11106
2021-02-02,11410
2021-02-03,11589
2021-02-04,11494
2021-02-05,11739
2021-02-08,11739
2021-02-09,11714
2021-02-10,11679
2021-02-15,11699
2021-02-16,11719
2021-02-17,11704
2021-02-18,11594
2021-02-19,11559
2021-02-22,11519
2021-02-23,11519
2021-02-24,11156
2021-02-25,11335
2021-02-26,11001
2021-03-02,11400
2021-03-03,11306
2021-03-04,10892
2021-03-05,10762
2021-03-08,10892
2021-03-09,10852
2021-03-10,11171
2021-03-11,11191
2021-03-12,11301
2021-03-15,11251
2021-03-16,11370
2021-03-17,11400
2021-03-18,11410
2021-03-19,11081
2021-03-22,11196
2021-03-23,11281
2021-03-24,11350
2021-03-25,11161
2021-03-26,11171
2021-03-29,11166
2021-03-30,11241
2021-03-31,11196
2021-04-01,11415
2021-04-02,11559
2021-04-05,11544
2021-04-06,11674
2021-04-07,11644
2021-04-08,11779
2021-04-09,11819
2021-04-12,11924
2021-04-13,11924
2021-04-14,11984
2021-04-15,11884
2021-04-16,11969
2021-04-19,12049
2021-04-20,11894
2021-04-21,11824
2021-04-22,11949
2021-04-23,11799
2021-04-26,11889
2021-04-27,11964
2021-04-28,11924
2021-04-29,11919
2021-04-30,11869
2021-05-03,11954
2021-05-04,11879
2021-05-06,11679
2021-05-07,11729
