date,price
2017-01-10,158625
2017-01-11,159426
2017-01-12,160627
2017-01-13,158224
2017-01-16,159025
2017-01-17,159225
2017-01-18,157823
2017-01-19,160427
2017-01-20,157223
2017-01-23,154419
2017-01-24,152416
2017-01-25,152816
2017-01-26,150813
2017-01-31,151815
2017-02-01,154419
2017-02-02,154619
2017-02-03,155019
2017-02-06,156021
2017-02-07,160227
2017-02-08,159225
2017-02-09,157623
2017-02-10,159225
2017-02-13,159225
2017-02-14,154218
2017-02-15,154819
2017-02-16,155620
2017-02-17,156221
2017-02-20,156421
2017-02-21,158224
2017-02-22,159626
2017-02-23,161829
2017-02-24,160828
2017-02-27,159426
2017-02-28,155420
2017-03-02,163231
2017-03-03,162029
2017-03-06,160227
2017-03-07,160026
2017-03-08,160227
2017-03-09,158024
2017-03-10,160227
2017-03-13,165434
2017-03-14,163231
2017-03-15,164232
2017-03-16,164032
2017-03-17,165634
2017-03-20,163832
2017-03-21,174447
2017-03-22,170041
2017-03-23,173045
2017-03-24,174647
2017-03-27,177251
2017-03-28,170842
2017-03-29,173045
2017-03-30,172444
2017-03-31,171242
2017-04-03,174848
2017-04-04,170241
2017-04-05,168839
2017-04-06,168238
2017-04-07,165835
2017-04-10,163832
2017-04-11,154218
2017-04-12,153818
2017-04-13,160627
2017-04-14,157623
2017-04-17,157223
2017-04-18,155821
2017-04-19,155620
2017-04-20,159426
2017-04-21,162830
2017-04-24,162230
2017-04-25,163231
2017-04-26,161629
2017-04-27,158424
2017-04-28,160227
2017-05-02,160427
2017-05-04,164833
2017-05-08,169240
2017-05-10,165034
2017-05-11,173446
2017-05-12,169840
2017-05-15,168038
2017-05-16,168038
2017-05-17,166636
2017-05-18,165034
2017-05-19,166636
2017-05-22,169640
2017-05-23,168639
2017-05-24,170642
2017-05-25,170642
2017-05-26,171242
2017-05-29,171443
2017-05-30,170642
2017-05-31,169240
2017-06-01,168639
2017-06-02,173045
2017-06-05,175448
2017-06-07,175448
2017-06-08,178252
2017-06-09,192272
2017-06-12,179254
2017-06-13,179254
2017-06-14,176850
2017-06-15,177251
2017-06-16,178653
2017-06-19,175849
2017-06-20,173446
2017-06-21,176250
2017-06-22,176250
2017-06-23,177651
2017-06-26,177852
2017-06-27,174046
2017-06-28,172444
2017-06-29,170842
2017-06-30,167838
2017-07-03,169039
2017-07-04,168238
2017-07-05,167237
2017-07-06,165234
2017-07-07,167838
2017-07-10,162830
2017-07-11,166235
2017-07-12,164433
2017-07-13,166235
2017-07-14,168038
2017-07-17,168038
2017-07-18,166235
2017-07-19,167237
2017-07-20,167237
2017-07-21,168038
2017-07-24,166836
2017-07-25,167637
2017-07-26,165234
2017-07-27,165234
2017-07-28,160026
2017-07-31,160828
2017-08-01,159426
2017-08-02,159225
2017-08-03,155821
2017-08-04,155420
2017-08-07,159426
2017-08-08,162230
2017-08-09,159826
2017-08-10,159025
2017-08-11,159225
2017-08-14,156021
2017-08-16,157623
2017-08-17,155620
2017-08-18,157022
2017-08-21,156421
2017-08-22,153617
2017-08-23,154819
2017-08-24,154419
2017-08-25,156221
2017-08-28,156822
2017-08-29,155821
2017-08-30,155019
2017-08-31,151214
2017-09-01,149411
2017-09-04,145406
2017-09-05,147409
2017-09-06,147609
2017-09-07,146207
2017-09-08,145606
2017-09-11,144204
2017-09-12,147208
2017-09-13,146007
2017-09-14,153217
2017-09-15,152215
2017-09-18,156421
2017-09-19,154218
2017-09-20,156822
2017-09-21,152816
2017-09-22,153017
2017-09-25,151014
2017-09-26,150813
2017-09-27,147008
2017-09-28,146808
2017-09-29,149211
2017-10-10,151414
2017-10-11,150413
2017-10-12,153818
2017-10-13,152616
2017-10-16,152616
2017-10-17,153818
2017-10-18,163231
2017-10-19,162430
2017-10-20,160427
2017-10-23,160026
2017-10-24,160427
2017-10-25,161028
2017-10-26,168238
2017-10-27,176049
2017-10-30,175448
2017-10-31,179053
2017-11-01,172244
2017-11-02,171443
2017-11-03,172845
2017-11-06,172444
2017-11-07,172244
2017-11-08,170041
2017-11-09,165234
2017-11-10,163031
2017-11-13,164032
2017-11-14,161228
2017-11-15,161228
2017-11-16,160627
2017-11-17,161228
2017-11-20,160427
2017-11-21,161829
2017-11-22,160427
2017-11-23,160427
2017-11-24,162230
2017-11-27,159225
2017-11-28,161629
2017-11-29,162630
2017-11-30,160227
2017-12-01,166436
2017-12-04,168038
2017-12-05,166836
2017-12-06,165434
2017-12-07,167637
2017-12-08,166235
2017-12-11,165434
2017-12-12,165835
2017-12-13,168438
2017-12-14,167237
2017-12-15,169039
2017-12-18,172244
2017-12-19,171242
2017-12-20,170041
2017-12-21,168639
2017-12-22,172644
2017-12-26,175048
2017-12-27,175649
2017-12-28,174247
2018-01-02,177251
2018-01-03,174447
2018-01-04,178853
2018-01-05,181857
2018-01-08,190269
2018-01-09,189068
2018-01-10,185863
2018-01-11,183660
2018-01-12,182058
2018-01-15,184461
2018-01-16,180856
2018-01-17,177852
2018-01-18,180856
2018-01-19,176450
2018-01-22,178853
2018-01-23,178052
2018-01-24,175849
2018-01-25,182859
2018-01-26,185663
2018-01-29,186664
2018-01-30,186464
2018-01-31,182258
2018-02-01,184862
2018-02-02,181257
2018-02-05,176049
2018-02-06,170441
2018-02-07,168839
