date,price
2021-11-29,76000
2021-11-30,68000
2021-12-01,62700
2021-12-02,68700
2021-12-03,66000
2021-12-06,66000
2021-12-07,65600
2021-12-08,64600
2021-12-09,65100
2021-12-10,63300
2021-12-13,63000
2021-12-14,60600
2021-12-15,58200
2021-12-16,56400
2021-12-17,57000
2021-12-20,58400
2021-12-21,60900
2021-12-22,65700
2021-12-23,64900
2021-12-24,65800
2021-12-27,65200
2021-12-28,64800
2021-12-29,64500
2021-12-30,66400
2022-01-03,66500
2022-01-04,70000
2022-01-05,67600
2022-01-06,61700
2022-01-07,61000
2022-01-10,57700
