date,price
2017-01-10,38821
2017-01-11,39252
2017-01-12,39511
2017-01-13,39425
2017-01-16,38734
2017-01-17,38993
2017-01-18,38734
2017-01-19,38648
2017-01-20,38476
2017-01-23,38044
2017-01-24,38217
2017-01-25,37785
2017-01-26,38389
2017-01-31,38476
2017-02-01,37958
2017-02-02,37613
2017-02-03,37872
2017-02-06,38303
2017-02-07,39079
2017-02-08,38734
2017-02-09,38648
2017-02-10,39252
2017-02-13,39597
2017-02-14,39511
2017-02-15,38821
2017-02-16,38907
2017-02-17,39079
2017-02-20,39079
2017-02-21,39252
2017-02-22,39856
2017-02-23,39856
2017-02-24,39942
2017-02-27,40028
2017-02-28,39942
2017-03-02,39597
2017-03-03,40201
2017-03-06,40028
2017-03-07,39856
2017-03-08,41581
2017-03-09,42789
2017-03-10,42616
2017-03-13,42271
2017-03-14,42358
2017-03-15,44428
2017-03-16,44169
2017-03-17,43134
2017-03-20,43307
2017-03-21,43652
2017-03-22,44773
2017-03-23,45291
2017-03-24,44859
2017-03-27,44773
2017-03-28,44946
2017-03-29,43565
2017-03-30,44083
2017-03-31,43479
2017-04-03,43824
2017-04-04,44342
2017-04-05,43652
2017-04-06,44169
2017-04-07,43997
2017-04-10,43565
2017-04-11,42271
2017-04-12,41926
2017-04-13,42358
2017-04-14,42013
2017-04-17,41840
2017-04-18,42616
2017-04-19,42875
2017-04-20,42962
2017-04-21,43393
2017-04-24,43393
2017-04-25,43048
2017-04-26,42099
2017-04-27,41409
2017-04-28,41322
2017-05-02,41409
2017-05-04,40632
2017-05-08,40719
2017-05-10,41150
2017-05-11,40632
2017-05-12,40719
2017-05-15,40719
2017-05-16,41322
2017-05-17,41322
2017-05-18,41581
2017-05-19,42185
2017-05-22,42530
2017-05-23,42444
2017-05-24,43479
2017-05-25,43048
2017-05-26,43911
2017-05-29,43134
2017-05-30,42962
2017-05-31,43738
2017-06-01,43048
2017-06-02,43220
2017-06-05,42444
2017-06-07,42358
2017-06-08,41926
2017-06-09,42444
2017-06-12,42530
2017-06-13,42789
2017-06-14,42013
2017-06-15,41754
2017-06-16,41754
2017-06-19,42703
2017-06-20,43048
2017-06-21,43911
2017-06-22,45377
2017-06-23,44514
2017-06-26,44514
2017-06-27,45550
2017-06-28,45895
2017-06-29,45118
2017-06-30,45895
2017-07-03,47361
2017-07-04,45550
2017-07-05,46153
2017-07-06,44428
2017-07-07,44256
2017-07-10,44083
2017-07-11,44859
2017-07-12,44342
2017-07-13,44428
2017-07-14,45377
2017-07-17,45205
2017-07-18,45032
2017-07-19,45205
2017-07-20,45377
2017-07-21,46671
2017-07-24,48051
2017-07-25,47879
2017-07-26,46585
2017-07-27,48138
2017-07-28,47793
2017-07-31,47965
2017-08-01,47879
2017-08-02,48914
2017-08-03,48828
2017-08-04,47706
2017-08-07,48224
2017-08-08,47447
2017-08-09,47361
2017-08-10,46412
2017-08-11,45722
2017-08-14,46499
2017-08-16,46326
2017-08-17,45550
2017-08-18,44859
2017-08-21,44859
2017-08-22,45291
2017-08-23,45032
2017-08-24,45463
2017-08-25,45032
2017-08-28,45205
2017-08-29,44946
2017-08-30,44342
2017-08-31,43738
2017-09-01,43479
2017-09-04,42789
2017-09-05,42789
2017-09-06,42099
2017-09-07,43393
2017-09-08,43048
2017-09-11,42530
2017-09-12,42530
2017-09-13,42962
2017-09-14,41754
2017-09-15,43652
2017-09-18,43134
2017-09-19,42444
2017-09-20,42358
2017-09-21,42962
2017-09-22,43479
2017-09-25,43048
2017-09-26,43911
2017-09-27,44342
2017-09-28,44428
2017-09-29,43997
2017-10-10,46153
2017-10-11,45981
2017-10-12,46240
2017-10-13,46153
2017-10-16,46844
2017-10-17,46326
2017-10-18,46153
2017-10-19,45636
2017-10-20,45722
2017-10-23,45205
2017-10-24,45377
2017-10-25,46067
2017-10-26,45463
2017-10-27,45032
2017-10-30,44428
2017-10-31,45550
2017-11-01,45463
2017-11-02,45722
2017-11-03,45895
2017-11-06,44859
2017-11-07,44169
2017-11-08,43824
2017-11-09,43738
2017-11-10,44169
2017-11-13,43565
2017-11-14,43307
2017-11-15,43479
2017-11-16,44083
2017-11-17,43911
2017-11-20,43220
2017-11-21,43220
2017-11-22,44946
2017-11-23,44859
2017-11-24,45118
2017-11-27,44859
2017-11-28,44687
