date,price
2018-09-12,9691
2018-09-13,9691
2018-09-14,9799
2018-09-17,9898
2018-09-18,10101
2018-09-19,10041
2018-09-20,9834
2018-09-21,9859
2018-09-27,10076
2018-09-28,9987
2018-10-01,9903
2018-10-02,9739
2018-10-04,9631
2018-10-05,9309
2018-10-08,9270
2018-10-10,9216
2018-10-11,8742
2018-10-12,9211
2018-10-15,9191
2018-10-16,9304
2018-10-17,9423
2018-10-18,9324
2018-10-19,9374
2018-10-22,9572
2018-10-23,9141
2018-10-24,8807
2018-10-25,8846
2018-10-26,8629
2018-10-29,8356
2018-10-30,8614
2018-10-31,8673
2018-11-01,8717
2018-11-02,9074
2018-11-05,9034
2018-11-06,8935
2018-11-07,8777
2018-11-08,9009
2018-11-09,8846
2018-11-12,8772
2018-11-13,8797
2018-11-14,8717
2018-11-15,8816
2018-11-16,8737
2018-11-19,8782
2018-11-20,8519
2018-11-21,8569
2018-11-22,8486
2018-11-23,8169
2018-11-26,8283
2018-11-27,8401
2018-11-28,8273
2018-11-29,8218
2018-11-30,8263
2018-12-03,8519
2018-12-04,8411
2018-12-05,8268
2018-12-06,7981
2018-12-07,8050
2018-12-10,7719
2018-12-11,7680
2018-12-12,7906
2018-12-13,7956
2018-12-14,7704
2018-12-17,7650
2018-12-18,7516
2018-12-19,7843
2018-12-20,7788
2018-12-21,8060
2018-12-24,7961
2018-12-26,7911
2018-12-27,8036
2018-12-28,8055
2019-01-02,7753
2019-01-03,7482
2019-01-04,7482
2019-01-07,7848
2019-01-08,7778
2019-01-09,8011
2019-01-10,8016
2019-01-11,8021
2019-01-14,7971
2019-01-15,8119
2019-01-16,8174
2019-01-17,7981
2019-01-18,8001
2019-01-21,7961
2019-01-22,7911
2019-01-23,7916
2019-01-24,7911
2019-01-25,8223
2019-01-28,8184
2019-01-29,8233
2019-01-30,8203
2019-01-31,8174
2019-02-01,8184
2019-02-07,8451
2019-02-08,8381
2019-02-11,8371
2019-02-12,8431
2019-02-13,8549
2019-02-14,8589
2019-02-15,8496
2019-02-18,8673
2019-02-19,8722
2019-02-20,8727
2019-02-21,8658
2019-02-22,8476
2019-02-25,8624
2019-02-26,8481
2019-02-27,8519
2019-02-28,8386
2019-03-04,8396
2019-03-05,8228
2019-03-06,8258
2019-03-07,8164
2019-03-08,8149
2019-03-11,8070
2019-03-12,8184
2019-03-13,8114
2019-03-14,8174
2019-03-15,8194
2019-03-18,8154
2019-03-19,8184
2019-03-20,8100
2019-03-21,8356
2019-03-22,8273
2019-03-25,7971
2019-03-26,7946
2019-03-27,7921
2019-03-28,7709
2019-03-29,7738
2019-04-01,7798
2019-04-02,7813
2019-04-03,7911
2019-04-04,7916
2019-04-05,7888
2019-04-08,7941
2019-04-09,8045
2019-04-10,7986
2019-04-11,8041
2019-04-12,8065
2019-04-15,8070
2019-04-16,8026
2019-04-17,8060
2019-04-18,7916
2019-04-19,7966
2019-04-22,7941
2019-04-23,7906
2019-04-24,7818
2019-04-25,7783
2019-04-26,7660
2019-04-29,7729
2019-04-30,7734
2019-05-02,7799
2019-05-03,7839
2019-05-07,7729
2019-05-08,7635
2019-05-09,7247
2019-05-10,7247
2019-05-13,7073
2019-05-14,7048
2019-05-15,7302
2019-05-16,7122
2019-05-17,7053
2019-05-20,6908
2019-05-21,6958
2019-05-22,6968
2019-05-23,6958
2019-05-24,6948
2019-05-27,6998
2019-05-28,6978
2019-05-29,6903
2019-05-30,7083
2019-05-31,7103
2019-06-03,7237
2019-06-04,7446
2019-06-05,7386
2019-06-07,7505
2019-06-10,7501
2019-06-11,7535
2019-06-12,7461
2019-06-13,7580
2019-06-14,7471
2019-06-17,7411
2019-06-18,7346
2019-06-19,7381
2019-06-20,7466
2019-06-21,7416
2019-06-24,7331
2019-06-25,7366
2019-06-26,7311
2019-06-27,7366
2019-06-28,7376
2019-07-01,7481
2019-07-02,7446
2019-07-03,7575
2019-07-04,7729
2019-07-05,7665
2019-07-08,7391
2019-07-09,7222
2019-07-10,7257
2019-07-11,7476
2019-07-12,7660
2019-07-15,7814
2019-07-16,7918
2019-07-17,7918
2019-07-18,7839
2019-07-19,7879
2019-07-22,7879
2019-07-23,7794
2019-07-24,7685
2019-07-25,7471
2019-07-26,7431
2019-07-29,7142
2019-07-30,7237
2019-07-31,7336
2019-08-01,7237
2019-08-02,7257
2019-08-05,6948
2019-08-06,6754
2019-08-07,6908
2019-08-08,7147
2019-08-09,7132
2019-08-12,7172
2019-08-13,7038
2019-08-14,7212
2019-08-16,7137
2019-08-19,7142
2019-08-20,7321
2019-08-21,7311
2019-08-22,7282
2019-08-23,7396
2019-08-26,7172
2019-08-27,7182
2019-08-28,7311
2019-08-29,7287
2019-08-30,7341
2019-09-02,7306
2019-09-03,7306
2019-09-04,7302
2019-09-05,7331
2019-09-06,7316
2019-09-09,7202
2019-09-10,7167
2019-09-11,7207
2019-09-16,7321
2019-09-17,7267
