date,price
2017-01-10,40500
2017-01-11,40300
2017-01-12,40550
2017-01-13,40550
2017-01-16,40500
2017-01-17,40700
2017-01-18,41150
2017-01-19,40800
2017-01-20,39750
2017-01-23,39400
2017-01-24,38400
2017-01-25,37500
2017-01-26,37750
2017-01-31,36400
2017-02-01,36500
2017-02-02,35700
2017-02-03,36150
2017-02-06,35900
2017-02-07,36650
2017-02-08,36800
2017-02-09,36500
2017-02-10,36800
2017-02-13,36900
2017-02-14,37000
2017-02-15,37350
2017-02-16,37600
2017-02-17,37950
2017-02-20,37800
2017-02-21,38000
2017-02-22,38350
2017-02-23,37850
2017-02-24,38100
2017-02-27,38250
2017-02-28,38250
2017-03-02,37100
2017-03-03,36500
2017-03-06,36550
2017-03-07,36700
2017-03-08,36300
2017-03-09,36250
2017-03-10,36300
2017-03-13,36450
2017-03-14,36400
2017-03-15,36100
2017-03-16,36950
2017-03-17,36850
2017-03-20,37000
2017-03-21,38300
2017-03-22,37450
2017-03-23,37300
2017-03-24,37250
2017-03-27,36850
2017-03-28,36600
2017-03-29,36350
2017-03-30,36600
2017-03-31,37050
2017-04-03,36850
2017-04-04,36350
2017-04-05,35950
2017-04-06,35850
2017-04-07,35550
2017-04-10,35550
2017-04-11,35000
2017-04-12,35100
2017-04-13,34750
2017-04-14,34550
2017-04-17,34950
2017-04-18,34700
2017-04-19,34100
2017-04-20,34900
2017-04-21,34850
2017-04-24,35200
2017-04-25,35200
2017-04-26,35900
2017-04-27,35000
2017-04-28,34850
2017-05-02,35100
2017-05-04,35250
2017-05-08,35750
2017-05-10,36100
2017-05-11,36850
2017-05-12,36500
2017-05-15,36800
2017-05-16,36900
2017-05-17,37150
2017-05-18,38200
2017-05-19,38800
2017-05-22,39050
2017-05-23,39200
2017-05-24,39000
2017-05-25,38950
2017-05-26,38850
2017-05-29,39250
2017-05-30,39150
2017-05-31,39050
2017-06-01,39550
2017-06-02,39200
2017-06-05,38750
2017-06-07,38850
2017-06-08,39150
2017-06-09,39000
2017-06-12,38950
2017-06-13,39200
2017-06-14,40100
2017-06-15,39300
2017-06-16,39750
2017-06-19,39750
2017-06-20,39400
2017-06-21,38100
2017-06-22,38300
2017-06-23,38850
2017-06-26,38650
2017-06-27,38000
2017-06-28,37850
2017-06-29,38150
2017-06-30,38200
2017-07-03,38700
2017-07-04,38000
2017-07-05,38000
2017-07-06,37700
2017-07-07,37300
2017-07-10,36700
2017-07-11,36800
2017-07-12,37000
2017-07-13,37000
2017-07-14,37400
2017-07-17,37600
2017-07-18,37000
2017-07-19,37050
2017-07-20,36450
2017-07-21,36550
2017-07-24,36500
2017-07-25,36800
2017-07-26,36900
2017-07-27,37000
2017-07-28,37200
2017-07-31,36600
2017-08-01,36750
2017-08-02,36850
2017-08-03,36950
2017-08-04,37600
2017-08-07,37050
2017-08-08,35400
2017-08-09,35500
2017-08-10,35350
2017-08-11,35200
2017-08-14,35700
2017-08-16,35450
2017-08-17,35250
2017-08-18,35350
2017-08-21,35700
2017-08-22,35500
2017-08-23,35200
2017-08-24,34800
2017-08-25,35350
2017-08-28,35900
2017-08-29,35750
2017-08-30,36750
2017-08-31,35450
2017-09-01,35550
2017-09-04,34900
2017-09-05,34100
2017-09-06,32850
2017-09-07,32900
2017-09-08,32000
2017-09-11,31800
2017-09-12,31150
