date,price
2017-01-10,29540
2017-01-11,30740
2017-01-12,30740
2017-01-13,29720
2017-01-16,29320
2017-01-17,29520
2017-01-18,29460
2017-01-19,29680
2017-01-20,29420
2017-01-23,30160
2017-01-24,30440
2017-01-25,31640
2017-01-26,32300
2017-01-31,31420
2017-02-01,31300
2017-02-02,31480
2017-02-03,31320
2017-02-06,31540
2017-02-07,31200
2017-02-08,30980
2017-02-09,31120
2017-02-10,30740
2017-02-13,30460
2017-02-14,30380
2017-02-15,30280
2017-02-16,30460
2017-02-17,30140
2017-02-20,30740
2017-02-21,30960
2017-02-22,31180
2017-02-23,31100
2017-02-24,29960
2017-02-27,29780
2017-02-28,29920
2017-03-02,31340
2017-03-03,30900
2017-03-06,31200
2017-03-07,31140
2017-03-08,31060
2017-03-09,30800
2017-03-10,31000
2017-03-13,31560
2017-03-14,32260
2017-03-15,32300
2017-03-16,32600
2017-03-17,32980
2017-03-20,32340
2017-03-21,32800
2017-03-22,32940
2017-03-23,32360
2017-03-24,31840
2017-03-27,31600
2017-03-28,31800
2017-03-29,32360
2017-03-30,32480
2017-03-31,32060
2017-04-03,32200
2017-04-04,32560
2017-04-05,32800
2017-04-06,32300
2017-04-07,32140
2017-04-10,32240
2017-04-11,31900
2017-04-12,31980
2017-04-13,32320
2017-04-14,32000
2017-04-17,31720
2017-04-18,31640
2017-04-19,31420
2017-04-20,31180
2017-04-21,31720
2017-04-24,31720
2017-04-25,32680
2017-04-26,32820
2017-04-27,34380
2017-04-28,35060
2017-05-02,36100
2017-05-04,35800
2017-05-08,36060
2017-05-10,34840
2017-05-11,34540
2017-05-12,34880
2017-05-15,35140
2017-05-16,35500
2017-05-17,35820
2017-05-18,35600
2017-05-19,34860
2017-05-22,35140
2017-05-23,35500
2017-05-24,35460
2017-05-25,35720
2017-05-26,36120
2017-05-29,35820
2017-05-30,35020
2017-05-31,34980
2017-06-01,34980
2017-06-02,35800
2017-06-05,36060
2017-06-07,36000
2017-06-08,36380
2017-06-09,37160
2017-06-12,36700
2017-06-13,36680
2017-06-14,36780
2017-06-15,36840
2017-06-16,37060
2017-06-19,37460
2017-06-20,38420
2017-06-21,38020
2017-06-22,38000
2017-06-23,37980
2017-06-26,38300
2017-06-27,38420
2017-06-28,37620
2017-06-29,38000
2017-06-30,37240
2017-07-03,37400
2017-07-04,36980
2017-07-05,37320
2017-07-06,37900
2017-07-07,37640
2017-07-10,38360
2017-07-11,38580
2017-07-12,38840
2017-07-13,39740
2017-07-14,39580
2017-07-17,40400
2017-07-18,40020
2017-07-19,40100
2017-07-20,40420
2017-07-21,41120
2017-07-24,40760
2017-07-25,40060
2017-07-26,39560
2017-07-27,39880
