date,price
2017-01-10,16458
2017-01-11,16699
2017-01-12,16438
2017-01-13,16840
2017-01-16,16579
2017-01-17,16438
2017-01-18,16278
2017-01-19,16518
2017-01-20,16137
2017-01-23,15856
2017-01-24,15816
2017-01-25,15274
2017-01-26,15475
2017-01-31,15595
2017-02-01,15736
2017-02-02,15595
2017-02-03,15655
2017-02-06,15515
2017-02-07,15716
2017-02-08,16017
2017-02-09,17141
2017-02-10,17081
2017-02-13,16880
2017-02-14,17040
2017-02-15,17040
2017-02-16,16539
2017-02-17,17000
2017-02-20,17020
2017-02-21,17743
2017-02-22,17964
2017-02-23,17643
2017-02-24,17683
2017-02-27,17221
2017-02-28,17141
2017-03-02,17121
2017-03-03,17221
2017-03-06,16820
2017-03-07,16800
2017-03-08,16659
2017-03-09,16619
2017-03-10,17121
2017-03-13,17020
2017-03-14,16759
2017-03-15,16498
2017-03-16,16820
2017-03-17,16860
2017-03-20,17040
2017-03-21,17281
2017-03-22,17382
2017-03-23,17241
2017-03-24,16880
2017-03-27,16639
2017-03-28,16699
2017-03-29,16820
2017-03-30,16619
2017-03-31,16679
2017-04-03,17462
2017-04-04,17201
2017-04-05,17241
2017-04-06,16960
2017-04-07,17382
2017-04-10,17040
2017-04-11,17201
2017-04-12,17241
2017-04-13,17663
2017-04-14,17823
2017-04-17,17883
2017-04-18,17703
2017-04-19,17502
2017-04-20,18225
2017-04-21,18064
2017-04-24,18104
2017-04-25,18225
2017-04-26,18586
2017-04-27,18345
2017-04-28,18144
2017-05-02,18586
2017-05-04,18867
2017-05-08,19068
2017-05-10,18867
2017-05-11,19108
2017-05-12,19228
2017-05-15,18827
2017-05-16,19108
2017-05-17,19108
2017-05-18,19108
2017-05-19,19670
2017-05-22,19971
2017-05-23,19870
2017-05-24,19971
2017-05-25,19790
2017-05-26,20011
2017-05-29,19911
2017-05-30,19690
2017-05-31,19830
2017-06-01,19830
2017-06-02,20232
2017-06-05,20974
2017-06-07,21677
2017-06-08,21777
2017-06-09,22038
2017-06-12,21075
2017-06-13,21456
2017-06-14,21356
2017-06-15,21175
2017-06-16,20653
2017-06-19,20834
2017-06-20,20372
2017-06-21,19830
2017-06-22,19670
2017-06-23,20372
2017-06-26,20111
2017-06-27,20834
2017-06-28,20232
2017-06-29,20372
2017-06-30,20372
2017-07-03,19951
2017-07-04,19730
2017-07-05,20573
2017-07-06,20894
2017-07-07,20392
2017-07-10,20473
2017-07-11,20172
2017-07-12,19770
2017-07-13,20051
2017-07-14,19870
2017-07-17,20172
2017-07-18,20774
2017-07-19,21075
2017-07-20,21075
2017-07-21,21677
2017-07-24,21878
2017-07-25,21577
2017-07-26,21175
2017-07-27,21978
2017-07-28,22279
2017-07-31,24086
2017-08-01,23684
2017-08-02,22982
2017-08-03,22982
2017-08-04,22179
2017-08-07,22179
2017-08-08,22279
2017-08-09,21777
2017-08-10,21777
2017-08-11,22078
2017-08-14,22681
2017-08-16,22982
2017-08-17,22982
2017-08-18,22781
2017-08-21,22881
2017-08-22,23182
2017-08-23,23082
2017-08-24,23383
2017-08-25,23584
2017-08-28,23684
2017-08-29,23885
2017-08-30,24487
2017-08-31,24688
2017-09-01,24487
2017-09-04,23985
2017-09-05,25189
2017-09-06,25691
2017-09-07,25491
2017-09-08,25992
2017-09-11,26193
2017-09-12,26193
2017-09-13,25591
2017-09-14,26494
2017-09-15,27197
2017-09-18,27197
2017-09-19,27498
2017-09-20,28602
2017-09-21,28501
2017-09-22,27799
2017-09-25,27799
2017-09-26,28301
2017-09-27,28200
2017-09-28,28000
2017-09-29,28903
2017-10-10,29906
2017-10-11,30207
2017-10-12,32014
2017-10-13,30609
2017-10-16,31311
2017-10-17,31612
2017-10-18,29806
2017-10-19,29505
2017-10-20,30107
2017-10-23,30308
2017-10-24,30107
2017-10-25,29304
2017-10-26,28100
2017-10-27,28802
2017-10-30,28501
2017-10-31,28903
2017-11-01,30308
2017-11-02,30107
2017-11-03,30609
2017-11-06,30709
2017-11-07,30910
2017-11-08,31612
2017-11-09,30609
2017-11-10,30609
2017-11-13,30910
2017-11-14,31111
2017-11-15,30910
2017-11-16,31010
2017-11-17,31612
2017-11-20,32114
2017-11-21,32315
2017-11-22,31010
2017-11-23,30007
2017-11-24,29706
2017-11-27,29605
2017-11-28,29204
2017-11-29,29103
2017-11-30,27397
2017-12-01,28100
2017-12-04,28000
2017-12-05,28200
2017-12-06,27698
2017-12-07,27197
2017-12-08,27799
2017-12-11,28100
2017-12-12,28301
2017-12-13,28301
2017-12-14,28903
2017-12-15,28602
2017-12-18,26996
2017-12-19,27197
2017-12-20,26795
2017-12-21,25892
2017-12-22,25992
2017-12-26,25290
2017-12-27,28000
2017-12-28,27498
2018-01-02,29405
2018-01-03,29906
2018-01-04,31311
2018-01-05,31311
2018-01-08,32014
2018-01-09,31512
2018-01-10,30007
2018-01-11,28200
2018-01-12,28200
2018-01-15,29103
2018-01-16,28200
2018-01-17,26896
2018-01-18,27197
2018-01-19,27698
2018-01-22,27197
2018-01-23,27397
2018-01-24,27096
2018-01-25,27096
2018-01-26,28100
2018-01-29,27899
2018-01-30,27799
2018-01-31,28100
2018-02-01,28401
2018-02-02,28802
2018-02-05,26996
2018-02-06,26293
2018-02-07,25390
2018-02-08,25390
2018-02-09,23684
2018-02-12,23684
2018-02-13,23885
2018-02-14,24587
2018-02-19,24888
2018-02-20,24688
2018-02-21,24989
2018-02-22,24788
2018-02-23,24788
2018-02-26,24688
2018-02-27,26293
2018-02-28,25691
2018-03-02,25591
2018-03-05,24688
2018-03-06,26594
2018-03-07,25992
2018-03-08,26494
2018-03-09,26896
2018-03-12,27096
2018-03-13,28200
2018-03-14,27498
2018-03-15,28401
2018-03-16,28301
2018-03-19,27598
2018-03-20,27899
2018-03-21,27698
2018-03-22,27698
2018-03-23,26193
2018-03-26,26293
2018-03-27,26394
2018-03-28,25892
2018-03-29,25992
2018-03-30,26494
2018-04-02,25892
2018-04-03,25792
2018-04-04,24788
2018-04-05,24989
2018-04-06,24587
2018-04-09,24387
2018-04-10,24587
2018-04-11,24387
2018-04-12,24086
2018-04-13,24186
2018-04-16,23483
