date,price
2017-01-10,92500
2017-01-11,91700
2017-01-12,91000
2017-01-13,90200
2017-01-16,90000
2017-01-17,92000
2017-01-18,92700
2017-01-19,92300
2017-01-20,91800
2017-01-23,91100
2017-01-24,90300
2017-01-25,88900
2017-01-26,89600
2017-01-31,87400
2017-02-01,87500
2017-02-02,85800
2017-02-03,86200
2017-02-06,86100
2017-02-07,86500
2017-02-08,87000
2017-02-09,86700
2017-02-10,87200
2017-02-13,86600
2017-02-14,86400
2017-02-15,89200
2017-02-16,90800
2017-02-17,90200
2017-02-20,90400
2017-02-21,90500
2017-02-22,90700
2017-02-23,89300
2017-02-24,89700
2017-02-27,89700
2017-02-28,89600
2017-03-02,91100
2017-03-03,88600
2017-03-06,88800
2017-03-07,88600
2017-03-08,88400
2017-03-09,88300
2017-03-10,88800
2017-03-13,88800
2017-03-14,89900
2017-03-15,89600
2017-03-16,89200
2017-03-17,90500
2017-03-20,91600
2017-03-21,97900
2017-03-22,97400
2017-03-23,95400
2017-03-24,96200
2017-03-27,93300
2017-03-28,92800
2017-03-29,91900
2017-03-30,92500
2017-03-31,92300
2017-04-03,91200
2017-04-04,89400
2017-04-05,88800
2017-04-06,88600
2017-04-07,86900
2017-04-10,87100
2017-04-11,85800
2017-04-12,85900
2017-04-13,85900
2017-04-14,85900
2017-04-17,86700
2017-04-18,84900
2017-04-19,83300
2017-04-20,85000
2017-04-21,85000
2017-04-24,85600
2017-04-25,87300
2017-04-26,89000
2017-04-27,87800
2017-04-28,87000
2017-05-02,88800
2017-05-04,89000
2017-05-08,90400
2017-05-10,90400
2017-05-11,91300
2017-05-12,90800
2017-05-15,90600
2017-05-16,92200
2017-05-17,93300
2017-05-18,95600
2017-05-19,97600
2017-05-22,99200
2017-05-23,100000
2017-05-24,98200
2017-05-25,99500
2017-05-26,99700
2017-05-29,97400
2017-05-30,99800
2017-05-31,99300
2017-06-01,101000
2017-06-02,101500
2017-06-05,101000
2017-06-07,101000
2017-06-08,101000
2017-06-09,101000
2017-06-12,101000
2017-06-13,102500
2017-06-14,106500
2017-06-15,105500
2017-06-16,107500
2017-06-19,106500
2017-06-20,105500
2017-06-21,104000
2017-06-22,105500
2017-06-23,106500
2017-06-26,106500
2017-06-27,107000
2017-06-28,104000
2017-06-29,106500
2017-06-30,106500
2017-07-03,106500
2017-07-04,104000
2017-07-05,100500
2017-07-06,100500
2017-07-07,98400
2017-07-10,95200
2017-07-11,96800
2017-07-12,97500
2017-07-13,98100
2017-07-14,99300
2017-07-17,98200
2017-07-18,97000
2017-07-19,97000
2017-07-20,96400
2017-07-21,95800
2017-07-24,95700
2017-07-25,97200
2017-07-26,98500
2017-07-27,97100
2017-07-28,97400
2017-07-31,94800
2017-08-01,95300
2017-08-02,95900
2017-08-03,94800
2017-08-04,96200
2017-08-07,95200
2017-08-08,93400
2017-08-09,93500
2017-08-10,93400
2017-08-11,92000
2017-08-14,93600
2017-08-16,94000
2017-08-17,93800
2017-08-18,94000
2017-08-21,94600
2017-08-22,93900
2017-08-23,94000
2017-08-24,93400
2017-08-25,94000
2017-08-28,93600
2017-08-29,92500
2017-08-30,92700
2017-08-31,90700
2017-09-01,91300
2017-09-04,91000
2017-09-05,90000
2017-09-06,87800
2017-09-07,88700
2017-09-08,87200
2017-09-11,86500
2017-09-12,87000
2017-09-13,85600
2017-09-14,83900
2017-09-15,84900
2017-09-18,85500
2017-09-19,87000
2017-09-20,87700
2017-09-21,87100
2017-09-22,87000
2017-09-25,86400
2017-09-26,88800
2017-09-27,89100
2017-09-28,89600
2017-09-29,90000
2017-10-10,90100
2017-10-11,90200
2017-10-12,90300
2017-10-13,90200
2017-10-16,90100
2017-10-17,89300
2017-10-18,89800
2017-10-19,90400
2017-10-20,90800
2017-10-23,90800
2017-10-24,90700
2017-10-25,90300
