date,price
2017-01-10,152000
2017-01-11,148500
2017-01-12,148000
2017-01-13,149000
2017-01-16,150500
2017-01-17,153500
2017-01-18,154000
2017-01-19,152000
2017-01-20,153000
2017-01-23,149000
2017-01-24,146500
2017-01-25,142000
2017-01-26,142500
2017-01-31,139500
2017-02-01,139500
2017-02-02,136000
2017-02-03,137500
2017-02-06,136500
2017-02-07,139000
2017-02-08,139000
2017-02-09,140000
2017-02-10,141000
2017-02-13,139500
2017-02-14,140000
2017-02-15,145500
2017-02-16,150500
2017-02-17,150500
2017-02-20,150000
2017-02-21,151000
2017-02-22,149500
2017-02-23,146000
2017-02-24,148000
2017-02-27,148500
2017-02-28,149500
2017-03-02,148500
2017-03-03,142000
2017-03-06,145000
2017-03-07,144000
2017-03-08,144500
2017-03-09,145000
2017-03-10,146000
2017-03-13,146000
2017-03-14,149000
2017-03-15,149500
2017-03-16,151500
2017-03-17,151500
2017-03-20,156500
2017-03-21,170000
2017-03-22,170000
2017-03-23,165000
2017-03-24,164000
2017-03-27,162000
2017-03-28,160000
2017-03-29,156000
2017-03-30,158500
2017-03-31,157500
2017-04-03,156500
2017-04-04,152000
2017-04-05,150000
2017-04-06,148000
2017-04-07,144500
2017-04-10,146000
2017-04-11,142500
2017-04-12,141500
2017-04-13,142500
2017-04-14,142500
2017-04-17,144000
2017-04-18,141000
2017-04-19,137000
2017-04-20,141500
2017-04-21,141500
2017-04-24,141500
2017-04-25,144500
2017-04-26,151000
2017-04-27,147000
2017-04-28,144000
2017-05-02,151000
2017-05-04,152000
2017-05-08,158000
2017-05-10,156500
2017-05-11,157500
2017-05-12,155000
2017-05-15,154000
2017-05-16,157500
2017-05-17,158500
2017-05-18,165000
2017-05-19,170000
2017-05-22,170000
2017-05-23,170000
2017-05-24,164000
2017-05-25,165000
2017-05-26,163500
2017-05-29,162000
2017-05-30,164000
2017-05-31,163000
2017-06-01,165500
2017-06-02,163000
2017-06-05,161500
2017-06-07,159000
2017-06-08,160000
2017-06-09,160000
2017-06-12,162500
2017-06-13,164500
2017-06-14,169000
2017-06-15,163000
2017-06-16,165000
2017-06-19,167000
2017-06-20,166500
2017-06-21,160500
2017-06-22,161500
2017-06-23,164000
2017-06-26,164000
2017-06-27,160500
2017-06-28,160000
2017-06-29,161000
2017-06-30,159500
2017-07-03,163500
2017-07-04,158500
2017-07-05,156000
2017-07-06,155500
2017-07-07,151500
2017-07-10,148000
2017-07-11,148000
2017-07-12,149000
2017-07-13,149000
2017-07-14,154000
2017-07-17,150500
2017-07-18,148000
2017-07-19,148500
2017-07-20,148000
2017-07-21,147500
2017-07-24,145000
2017-07-25,146000
2017-07-26,148000
2017-07-27,146500
2017-07-28,149500
2017-07-31,145000
2017-08-01,145500
2017-08-02,147500
2017-08-03,148500
2017-08-04,150000
2017-08-07,148000
2017-08-08,144000
2017-08-09,146000
2017-08-10,145000
2017-08-11,142000
2017-08-14,144500
2017-08-16,144500
2017-08-17,144000
2017-08-18,144500
2017-08-21,148000
2017-08-22,147000
2017-08-23,146500
2017-08-24,143500
2017-08-25,144500
2017-08-28,144500
2017-08-29,144000
2017-08-30,143000
2017-08-31,140500
2017-09-01,143000
2017-09-04,140000
2017-09-05,138000
2017-09-06,136000
2017-09-07,138000
2017-09-08,135500
2017-09-11,135000
2017-09-12,136000
2017-09-13,134000
2017-09-14,137000
2017-09-15,136500
2017-09-18,137000
2017-09-19,140000
2017-09-20,142000
2017-09-21,141500
2017-09-22,142000
2017-09-25,141000
2017-09-26,147500
2017-09-27,147500
2017-09-28,147000
2017-09-29,150500
2017-10-10,151000
2017-10-11,155000
2017-10-12,156500
2017-10-13,154500
2017-10-16,153000
2017-10-17,149500
2017-10-18,150500
2017-10-19,151500
2017-10-20,151500
2017-10-23,151500
2017-10-24,151000
2017-10-25,148500
2017-10-26,159500
2017-10-27,158500
2017-10-30,156000
2017-10-31,161000
2017-11-01,160500
2017-11-02,160000
2017-11-03,161500
2017-11-06,158500
2017-11-07,155000
2017-11-08,155000
2017-11-09,155500
2017-11-10,154500
2017-11-13,160500
2017-11-14,160500
2017-11-15,161500
2017-11-16,159500
2017-11-17,157000
2017-11-20,156500
2017-11-21,157000
2017-11-22,155000
2017-11-23,157000
2017-11-24,159000
2017-11-27,158500
2017-11-28,157000
2017-11-29,160500
