,종목코드,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
0,005930,삼성전자,78300.0,1400.0,+1.82%,100.0,4674340.0,5969783.0,52.03,15102496.0,15.18,9.99
1,000660,SK하이닉스,127000.0,2000.0,+1.60%,5000.0,924563.0,728002.0,49.23,3248588.0,11.48,9.53
2,005935,삼성전자우,71400.0,500.0,+0.71%,100.0,587541.0,822887.0,74.62,994677.0,13.84,
3,207940,삼성바이오로직스,844000.0,6000.0,+0.72%,2500.0,558433.0,66165.0,10.91,71891.0,136.04,
4,035420,NAVER,338000.0,500.0,-0.15%,100.0,554486.0,164049.0,55.82,753658.0,3.35,15.22
5,051910,LG화학,719000.0,29000.0,+4.20%,5000.0,507559.0,70592.0,47.51,642009.0,18.74,2.93
6,005380,현대차,215000.0,1000.0,+0.47%,5000.0,459387.0,213668.0,28.43,575218.0,10.89,2.04
7,035720,카카오,100000.0,0.0,0.00%,100.0,445906.0,445906.0,30.1,3868230.0,39.37,2.7
8,006400,삼성SDI,636000.0,6000.0,-0.93%,5000.0,437342.0,68765.0,45.41,250559.0,39.89,4.54
9,000270,기아,86700.0,1100.0,+1.29%,5000.0,351450.0,405363.0,35.36,1896718.0,7.85,5.05
10,005490,POSCO,305000.0,500.0,+0.16%,5000.0,265920.0,87187.0,52.55,517463.0,4.57,3.61
11,323410,카카오뱅크,55000.0,1000.0,-1.79%,5000.0,261338.0,475159.0,16.94,1172080.0,177.99,5.08
12,012330,현대모비스,269500.0,0.0,0.00%,5000.0,254874.0,94573.0,34.3,598354.0,10.85,4.66
13,068270,셀트리온,182500.0,1500.0,+0.83%,1000.0,251754.0,137947.0,19.92,506046.0,46.44,16.68
14,105560,KB금융,55700.0,100.0,-0.18%,5000.0,231605.0,415808.0,69.65,1192992.0,5.32,8.53
15,096770,SK이노베이션,247000.0,500.0,-0.20%,5000.0,228390.0,92466.0,23.54,439584.0,-7264.71,-13.58
16,066570,LG전자,137500.0,2500.0,+1.85%,5000.0,225016.0,163648.0,28.96,801762.0,19.84,13.23
17,028260,삼성물산,116500.0,1500.0,+1.30%,100.0,217723.0,186887.0,15.37,264447.0,13.26,3.81
18,377300,카카오페이,153500.0,1500.0,+0.99%,500.0,202441.0,131883.0,42.82,236376.0,-763.68,-17.97
19,055550,신한지주,37650.0,350.0,+0.94%,5000.0,194500.0,516600.0,60.54,1122101.0,5.0,8.2
20,259960,크래프톤,394500.0,7500.0,-1.87%,100.0,193175.0,48967.0,30.29,333509.0,30.92,61.86
21,034730,SK,245500.0,1500.0,+0.61%,200.0,182037.0,74149.0,21.6,178472.0,28.69,1.11
22,051900,LG생활건강,1104000.0,17000.0,+1.56%,5000.0,172425.0,15618.0,43.0,49515.0,22.97,17.92
23,302440,SK바이오사이언스,213000.0,13000.0,+6.50%,500.0,162945.0,76500.0,5.6,600839.0,82.02,13.25
24,009150,삼성전기,187500.0,6000.0,+3.31%,5000.0,140051.0,74694.0,30.72,677233.0,14.41,10.92
25,015760,한국전력,21650.0,200.0,+0.93%,5000.0,138985.0,641964.0,14.56,894074.0,-12.76,2.91
26,036570,엔씨소프트,606000.0,5000.0,+0.83%,500.0,133041.0,21954.0,44.12,124617.0,37.41,20.83
